BBH_score_clustered,BBH_se,BBH_nsubtasks,MUSR_score_clustered,MUSR_se,MUSR_nsubtasks,model
0.43577246498246686,0.006254127556191594,24,0.3872083333333334,0.017183973361366657,3,CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct-2412
0.4426719080820793,0.006269035218436593,24,0.3649166666666667,0.016833029114301627,3,CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct
0.5262406145493724,0.0063160169869578365,24,0.3686666666666667,0.01692527919977203,3,Casual-Autopsy/L3-Umbral-Mind-RP-v2.0-8B
0.4700462397700626,0.006333952286323008,24,0.4154791666666667,0.01756915843312663,3,CausalLM/14B
0.5590996102136266,0.006223925781700207,24,0.37486458333333333,0.01714373868636759,3,CausalLM/34b-beta
0.3614567463880903,0.00612897556677129,24,0.34218750000000003,0.016802350365670658,3,CausalLM/preview-1-hf
0.4613311786298187,0.006248214981327356,24,0.3922604166666666,0.017438300420394615,3,Changgil/K2S3-14b-v0.2
0.46554920672286154,0.00625280732913062,24,0.40140624999999996,0.01759712812289883,3,Changgil/K2S3-v0.1
0.5113043406568835,0.006222838484418319,24,0.41353124999999996,0.017464943229507243,3,ClaudioItaly/Albacus
0.5417370194443233,0.006215844883920201,24,0.4635416666666667,0.01771956965305672,3,ClaudioItaly/Book-Gut12B
0.5108043406568835,0.006220408890409819,24,0.41353124999999996,0.017464943229507243,3,ClaudioItaly/Evolutionstory-7B-v2.2
0.5366339718839108,0.006229267062585396,24,0.4152708333333333,0.017469077345912853,3,ClaudioItaly/intelligence-cod-rag-7b-v3
0.5399551450731271,0.0062258222620413875,24,0.4309895833333333,0.017556083712358905,3,CohereForAI/aya-23-35B
0.4296161519220307,0.006256127089744779,24,0.3940625,0.017072884916906773,3,CohereForAI/aya-23-8B
0.5648670099212114,0.006156381772773405,24,0.3872708333333333,0.017299665769618527,3,CohereForAI/aya-expanse-32b
0.4977203055736406,0.006338741108583152,24,0.37288541666666664,0.017073115771515917,3,CohereForAI/aya-expanse-8b
0.5995999913027183,0.006089094266470318,24,0.48294791666666664,0.018032035137775737,3,CohereForAI/c4ai-command-r-plus-08-2024
0.581542357407793,0.006148690380612688,24,0.48071875000000003,0.01792736192329176,3,CohereForAI/c4ai-command-r-plus
